number;EN;ES;ftu8;utf8;tag;unicode;native
1;grinning face;Cara sonriente;<ed><a0><bd><ed><b8><80>;<f0><9f><98><80>;face grin;U+1F600;😀
10;smiling face with smiling eyes;Cara sonriente con los ojos sonrientes;<ed><a0><bd><ed><b8><8a>;<f0><9f><98><8a>;blush eye face smile;U+1F60A;😊
100;boy: light skin tone;Chico: tono de piel claro;<ed><a0><bd><ed><b1><a6><ed><a0><bc><ed><bf><bb>;<f0><9f><91><a6><f0><9f><8f><bb>;boy light skin tone young;U+1F466 U+1F3FB;👦 🏻
1000;family: man, woman, boy;Familia: hombre, mujer, niño;<ed><a0><bd><ed><b1><a8><e2><80><8d><ed><a0><bd><ed><b1><a9><e2><80><8d><ed><a0><bd><ed><b1><a6>;<f0><9f><91><a8><e2><80><8d><f0><9f><91><a9><e2><80><8d><f0><9f><91><a6>;boy family man woman;U+1F468 U+200D U+1F469 U+200D U+1F466;👨 ‍ 👩 ‍ 👦
1001;family: man, woman, girl;Familia: hombre, mujer, niña;<ed><a0><bd><ed><b1><a8><e2><80><8d><ed><a0><bd><ed><b1><a9><e2><80><8d><ed><a0><bd><ed><b1><a7>;<f0><9f><91><a8><e2><80><8d><f0><9f><91><a9><e2><80><8d><f0><9f><91><a7>;family girl man woman;U+1F468 U+200D U+1F469 U+200D U+1F467;👨 ‍ 👩 ‍ 👧
1002;family: man, woman, girl, boy;Familia: hombre, mujer, niña, niño;<ed><a0><bd><ed><b1><a8><e2><80><8d><ed><a0><bd><ed><b1><a9><e2><80><8d><ed><a0><bd><ed><b1><a7><e2><80><8d><ed><a0><bd><ed><b1><a6>;<f0><9f><91><a8><e2><80><8d><f0><9f><91><a9><e2><80><8d><f0><9f><91><a7><e2><80><8d><f0><9f><91><a6>;boy family girl man woman;U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466;👨 ‍ 👩 ‍ 👧 ‍ 👦
1003;family: man, woman, boy, boy;Familia: hombre, mujer, muchacho, muchacho;<ed><a0><bd><ed><b1><a8><e2><80><8d><ed><a0><bd><ed><b1><a9><e2><80><8d><ed><a0><bd><ed><b1><a6><e2><80><8d><ed><a0><bd><ed><b1><a6>;<f0><9f><91><a8><e2><80><8d><f0><9f><91><a9><e2><80><8d><f0><9f><91><a6><e2><80><8d><f0><9f><91><a6>;boy family man woman;U+1F468 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466;👨 ‍ 👩 ‍ 👦 ‍ 👦
1004;family: man, woman, girl, girl;Familia: hombre, mujer, niña, niña;<ed><a0><bd><ed><b1><a8><e2><80><8d><ed><a0><bd><ed><b1><a9><e2><80><8d><ed><a0><bd><ed><b1><a7><e2><80><8d><ed><a0><bd><ed><b1><a7>;<f0><9f><91><a8><e2><80><8d><f0><9f><91><a9><e2><80><8d><f0><9f><91><a7><e2><80><8d><f0><9f><91><a7>;family girl man woman;U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467;👨 ‍ 👩 ‍ 👧 ‍ 👧
1005;family: man, man, boy;Familia: hombre, hombre, niño;<ed><a0><bd><ed><b1><a8><e2><80><8d><ed><a0><bd><ed><b1><a8><e2><80><8d><ed><a0><bd><ed><b1><a6>;<f0><9f><91><a8><e2><80><8d><f0><9f><91><a8><e2><80><8d><f0><9f><91><a6>;boy family man;U+1F468 U+200D U+1F468 U+200D U+1F466;👨 ‍ 👨 ‍ 👦
1006;family: man, man, girl;Familia: hombre, hombre, niña;<ed><a0><bd><ed><b1><a8><e2><80><8d><ed><a0><bd><ed><b1><a8><e2><80><8d><ed><a0><bd><ed><b1><a7>;<f0><9f><91><a8><e2><80><8d><f0><9f><91><a8><e2><80><8d><f0><9f><91><a7>;family girl man;U+1F468 U+200D U+1F468 U+200D U+1F467;👨 ‍ 👨 ‍ 👧
